"Market","Forecast","Timestamp"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:01:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:02:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:03:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:04:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:05:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:06:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:07:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:08:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:09:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:10:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:11:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:12:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:13:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:14:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:15:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:16:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:17:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:18:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:19:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:20:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:21:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:22:00.000Z"
"Oklahoma City vs Indiana Winner?","65.99%","2025-06-17T04:23:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:24:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:25:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:26:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:27:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:28:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:29:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:30:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:31:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:32:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:33:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:34:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:35:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:36:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:37:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:38:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:39:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:40:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:41:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:42:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:43:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:44:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:45:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:46:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:47:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:48:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:49:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:50:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:51:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:52:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:53:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:54:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T04:55:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:56:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:57:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:58:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T04:59:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:00:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:01:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:02:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:03:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:04:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:05:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:06:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:07:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:08:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:09:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:10:00.000Z"
"Oklahoma City vs Indiana Winner?","65.90%","2025-06-17T05:11:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:12:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:13:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:14:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:15:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:16:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:17:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:18:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:19:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:20:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:21:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:22:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:23:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:24:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:25:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:26:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:27:00.000Z"
